t V T
0 -1 0.405
0.01 -1 0.405
0.02 -1 0.405
0.03 -1 0.405001
0.04 -1 0.405002
0.05 -1 0.405002
0.06 -1 0.405003
0.07 -1 0.405005
0.08 -1.00001 0.405006
0.09 -1.00001 0.405008
0.1 -1.00001 0.40501
0.11 -1.00001 0.405011
0.12 -1.00001 0.405014
0.13 -1.00002 0.405016
0.14 -1.00002 0.405019
0.15 -1.00002 0.405021
0.16 -1.00002 0.405024
0.17 -1.00003 0.405027
0.18 -1.00003 0.405031
0.19 -1.00003 0.405034
0.2 -1.00004 0.405038
0.21 -1.00004 0.405042
0.22 -1.00005 0.405046
0.23 -1.00005 0.40505
0.24 -1.00005 0.405055
0.25 -1.00006 0.405059
0.26 -1.00006 0.405064
0.27 -1.00007 0.405069
0.28 -1.00007 0.405074
0.29 -1.00008 0.40508
0.3 -1.00009 0.405086
0.31 -1.00009 0.405091
0.32 -1.0001 0.405097
0.33 -1.0001 0.405103
0.34 -1.00011 0.40511
0.35 -1.00012 0.405116
0.36 -1.00012 0.405123
0.37 -1.00013 0.40513
0.38 -1.00014 0.405137
0.39 -1.00014 0.405145
0.4 -1.00015 0.405152
0.41 -1.00016 0.40516
0.42 -1.00017 0.405168
0.43 -1.00018 0.405176
0.44 -1.00018 0.405184
0.45 -1.00019 0.405192
0.46 -1.0002 0.405201
0.47 -1.00021 0.40521
0.48 -1.00022 0.405219
0.49 -1.00023 0.405228
0.5 -1.00024 0.405238
0.51 -1.00025 0.405247
0.52 -1.00026 0.405257
0.53 -1.00027 0.405267
0.54 -1.00028 0.405277
0.55 -1.00029 0.405287
0.56 -1.0003 0.405298
0.57 -1.00031 0.405309
0.58 -1.00032 0.40532
0.59 -1.00033 0.405331
0.6 -1.00034 0.405342
0.61 -1.00035 0.405354
0.62 -1.00037 0.405365
0.63 -1.00038 0.405377
0.64 -1.00039 0.405389
0.65 -1.0004 0.405401
0.66 -1.00041 0.405414
0.67 -1.00043 0.405427
0.68 -1.00044 0.405439
0.69 -1.00045 0.405452
0.7 -1.00047 0.405466
0.71 -1.00048 0.405479
0.72 -1.00049 0.405493
0.73 -1.00051 0.405506
0.74 -1.00052 0.40552
0.75 -1.00053 0.405535
0.76 -1.00055 0.405549
0.77 -1.00056 0.405563
0.78 -1.00058 0.405578
0.79 -1.00059 0.405593
0.8 -1.00061 0.405608
0.81 -1.00062 0.405624
0.82 -1.00064 0.405639
0.83 -1.00065 0.405655
0.84 -1.00067 0.405671
0.85 -1.00069 0.405687
0.86 -1.0007 0.405703
0.87 -1.00072 0.405719
0.88 -1.00074 0.405736
0.89 -1.00075 0.405753
0.9 -1.00077 0.40577
0.91 -1.00079 0.405787
0.92 -1.0008 0.405804
0.93 -1.00082 0.405822
0.94 -1.00084 0.40584
0.95 -1.00086 0.405858
0.96 -1.00088 0.405876
0.97 -1.00089 0.405894
0.98 -1.00091 0.405913
0.99 -1.00093 0.405932
1 -1.00095 0.405951
1.01 -1.00097 0.40597
1.02 -1.00099 0.405989
1.03 -1.00101 0.406008
1.04 -1.00103 0.406028
1.05 -1.00105 0.406048
1.06 -1.00107 0.406068
1.07 -1.00109 0.406088
1.08 -1.00111 0.406109
1.09 -1.00113 0.406129
1.1 -1.00115 0.40615
1.11 -1.00117 0.406171
1.12 -1.00119 0.406193
1.13 -1.00121 0.406214
1.14 -1.00124 0.406236
1.15 -1.00126 0.406257
1.16 -1.00128 0.406279
1.17 -1.0013 0.406302
1.18 -1.00132 0.406324
1.19 -1.00135 0.406346
1.2 -1.00137 0.406369
1.21 -1.00139 0.406392
1.22 -1.00142 0.406415
1.23 -1.00144 0.406439
1.24 -1.00146 0.406462
1.25 -1.00149 0.406486
1.26 -1.00151 0.40651
1.27 -1.00153 0.406534
1.28 -1.00156 0.406558
1.29 -1.00158 0.406582
1.3 -1.00161 0.406607
1.31 -1.00163 0.406632
1.32 -1.00166 0.406657
1.33 -1.00168 0.406682
1.34 -1.00171 0.406708
1.35 -1.00173 0.406733
1.36 -1.00176 0.406759
1.37 -1.00179 0.406785
1.38 -1.00181 0.406811
1.39 -1.00184 0.406838
1.4 -1.00186 0.406864
1.41 -1.00189 0.406891
1.42 -1.00192 0.406918
1.43 -1.00195 0.406945
1.44 -1.00197 0.406972
1.45 -1.002 0.407
1.46 -1.00203 0.407028
1.47 -1.00206 0.407055
1.48 -1.00208 0.407084
1.49 -1.00211 0.407112
1.5 -1.00214 0.40714
1.51 -1.00217 0.407169
1.52 -1.0022 0.407198
1.53 -1.00223 0.407227
1.54 -1.00226 0.407256
1.55 -1.00229 0.407286
1.56 -1.00232 0.407315
1.57 -1.00235 0.407345
1.58 -1.00238 0.407375
1.59 -1.00241 0.407405
1.6 -1.00244 0.407436
1.61 -1.00247 0.407466
1.62 -1.0025 0.407497
1.63 -1.00253 0.407528
1.64 -1.00256 0.407559
1.65 -1.00259 0.407591
1.66 -1.00262 0.407622
1.67 -1.00265 0.407654
1.68 -1.00269 0.407686
1.69 -1.00272 0.407718
1.7 -1.00275 0.40775
1.71 -1.00278 0.407783
1.72 -1.00282 0.407815
1.73 -1.00285 0.407848
1.74 -1.00288 0.407881
1.75 -1.00291 0.407915
1.76 -1.00295 0.407948
1.77 -1.00298 0.407982
1.78 -1.00302 0.408016
1.79 -1.00305 0.40805
1.8 -1.00308 0.408084
1.81 -1.00312 0.408118
1.82 -1.00315 0.408153
1.83 -1.00319 0.408188
1.84 -1.00322 0.408223
1.85 -1.00326 0.408258
1.86 -1.00329 0.408293
1.87 -1.00333 0.408329
1.88 -1.00336 0.408365
1.89 -1.0034 0.408401
1.9 -1.00344 0.408437
1.91 -1.00347 0.408473
1.92 -1.00351 0.40851
1.93 -1.00355 0.408546
1.94 -1.00358 0.408583
1.95 -1.00362 0.40862
1.96 -1.00366 0.408658
1.97 -1.0037 0.408695
1.98 -1.00373 0.408733
1.99 -1.00377 0.408771
2 -1.00381 0.408809
2.01 -1.00385 0.408847
2.02 -1.00389 0.408886
2.03 -1.00392 0.408924
2.04 -1.00396 0.408963
2.05 -1.004 0.409002
2.06 -1.00404 0.409042
2.07 -1.00408 0.409081
2.08 -1.00412 0.409121
2.09 -1.00416 0.40916
2.1 -1.0042 0.4092
2.11 -1.00424 0.409241
2.12 -1.00428 0.409281
2.13 -1.00432 0.409322
2.14 -1.00436 0.409362
2.15 -1.0044 0.409403
2.16 -1.00444 0.409445
2.17 -1.00449 0.409486
2.18 -1.00453 0.409527
2.19 -1.00457 0.409569
2.2 -1.00461 0.409611
2.21 -1.00465 0.409653
2.22 -1.0047 0.409696
2.23 -1.00474 0.409738
2.24 -1.00478 0.409781
2.25 -1.00482 0.409824
2.26 -1.00487 0.409867
2.27 -1.00491 0.40991
2.28 -1.00495 0.409954
2.29 -1.005 0.409997
2.3 -1.00504 0.410041
2.31 -1.00509 0.410085
2.32 -1.00513 0.41013
2.33 -1.00517 0.410174
2.34 -1.00522 0.410219
2.35 -1.00526 0.410263
2.36 -1.00531 0.410308
2.37 -1.00535 0.410354
2.38 -1.0054 0.410399
2.39 -1.00544 0.410445
2.4 -1.00549 0.410491
2.41 -1.00554 0.410537
2.42 -1.00558 0.410583
2.43 -1.00563 0.410629
2.44 -1.00568 0.410676
2.45 -1.00572 0.410723
2.46 -1.00577 0.41077
2.47 -1.00582 0.410817
2.48 -1.00586 0.410864
2.49 -1.00591 0.410912
2.5 -1.00596 0.410959
2.51 -1.00601 0.411007
2.52 -1.00606 0.411055
2.53 -1.0061 0.411104
2.54 -1.00615 0.411152
2.55 -1.0062 0.411201
2.56 -1.00625 0.41125
2.57 -1.0063 0.411299
2.58 -1.00635 0.411348
2.59 -1.0064 0.411398
2.6 -1.00645 0.411448
2.61 -1.0065 0.411497
2.62 -1.00655 0.411548
2.63 -1.0066 0.411598
2.64 -1.00665 0.411648
2.65 -1.0067 0.411699
2.66 -1.00675 0.41175
2.67 -1.0068 0.411801
2.68 -1.00685 0.411852
2.69 -1.0069 0.411904
2.7 -1.00696 0.411955
2.71 -1.00701 0.412007
2.72 -1.00706 0.412059
2.73 -1.00711 0.412111
2.74 -1.00716 0.412164
2.75 -1.00722 0.412216
2.76 -1.00727 0.412269
2.77 -1.00732 0.412322
2.78 -1.00738 0.412375
2.79 -1.00743 0.412429
2.8 -1.00748 0.412482
2.81 -1.00754 0.412536
2.82 -1.00759 0.41259
2.83 -1.00764 0.412644
2.84 -1.0077 0.412699
2.85 -1.00775 0.412753
2.86 -1.00781 0.412808
2.87 -1.00786 0.412863
2.88 -1.00792 0.412918
2.89 -1.00797 0.412974
2.9 -1.00803 0.413029
2.91 -1.00808 0.413085
2.92 -1.00814 0.413141
2.93 -1.0082 0.413197
2.94 -1.00825 0.413253
2.95 -1.00831 0.41331
2.96 -1.00837 0.413366
2.97 -1.00842 0.413423
2.98 -1.00848 0.41348
2.99 -1.00854 0.413538
3 -1.0086 0.413595
3.01 -1.00865 0.413653
3.02 -1.00871 0.413711
3.03 -1.00877 0.413769
3.04 -1.00883 0.413827
3.05 -1.00889 0.413886
3.06 -1.00894 0.413944
3.07 -1.009 0.414003
3.08 -1.00906 0.414062
3.09 -1.00912 0.414122
3.1 -1.00918 0.414181
3.11 -1.00924 0.414241
3.12 -1.0093 0.414301
3.13 -1.00936 0.414361
3.14 -1.00942 0.414421
3.15 -1.00948 0.414481
3.16 -1.00954 0.414542
3.17 -1.0096 0.414603
3.18 -1.00966 0.414664
3.19 -1.00973 0.414725
3.2 -1.00979 0.414787
3.21 -1.00985 0.414848
3.22 -1.00991 0.41491
3.23 -1.00997 0.414972
3.24 -1.01003 0.415034
3.25 -1.0101 0.415097
3.26 -1.01016 0.415159
3.27 -1.01022 0.415222
3.28 -1.01029 0.415285
3.29 -1.01035 0.415348
3.3 -1.01041 0.415412
3.31 -1.01048 0.415475
3.32 -1.01054 0.415539
3.33 -1.0106 0.415603
3.34 -1.01067 0.415667
3.35 -1.01073 0.415732
3.36 -1.0108 0.415796
3.37 -1.01086 0.415861
3.38 -1.01093 0.415926
3.39 -1.01099 0.415991
3.4 -1.01106 0.416057
3.41 -1.01112 0.416122
3.42 -1.01119 0.416188
3.43 -1.01125 0.416254
3.44 -1.01132 0.41632
3.45 -1.01139 0.416386
3.46 -1.01145 0.416453
3.47 -1.01152 0.41652
3.48 -1.01159 0.416587
3.49 -1.01165 0.416654
3.5 -1.01172 0.416721
3.51 -1.01179 0.416789
3.52 -1.01186 0.416857
3.53 -1.01192 0.416925
3.54 -1.01199 0.416993
3.55 -1.01206 0.417061
3.56 -1.01213 0.41713
3.57 -1.0122 0.417198
3.58 -1.01227 0.417267
3.59 -1.01234 0.417336
3.6 -1.01241 0.417406
3.61 -1.01248 0.417475
3.62 -1.01254 0.417545
3.63 -1.01261 0.417615
3.64 -1.01269 0.417685
3.65 -1.01276 0.417755
3.66 -1.01283 0.417826
3.67 -1.0129 0.417897
3.68 -1.01297 0.417968
3.69 -1.01304 0.418039
3.7 -1.01311 0.41811
3.71 -1.01318 0.418182
3.72 -1.01325 0.418253
3.73 -1.01333 0.418325
3.74 -1.0134 0.418397
3.75 -1.01347 0.41847
3.76 -1.01354 0.418542
3.77 -1.01361 0.418615
3.78 -1.01369 0.418688
3.79 -1.01376 0.418761
3.8 -1.01383 0.418834
3.81 -1.01391 0.418908
3.82 -1.01398 0.418981
3.83 -1.01406 0.419055
3.84 -1.01413 0.419129
3.85 -1.0142 0.419204
3.86 -1.01428 0.419278
3.87 -1.01435 0.419353
3.88 -1.01443 0.419428
3.89 -1.0145 0.419503
3.9 -1.01458 0.419578
3.91 -1.01465 0.419654
3.92 -1.01473 0.41973
3.93 -1.01481 0.419806
3.94 -1.01488 0.419882
3.95 -1.01496 0.419958
3.96 -1.01503 0.420034
3.97 -1.01511 0.420111
3.98 -1.01519 0.420188
3.99 -1.01527 0.420265
4 -1.01534 0.420343
4.01 -1.01542 0.42042
4.02 -1.0155 0.420498
4.03 -1.01558 0.420576
4.04 -1.01565 0.420654
4.05 -1.01573 0.420732
4.06 -1.01581 0.420811
4.07 -1.01589 0.420889
4.08 -1.01597 0.420968
4.09 -1.01605 0.421047
4.1 -1.01613 0.421127
4.11 -1.01621 0.421206
4.12 -1.01629 0.421286
4.13 -1.01637 0.421366
4.14 -1.01645 0.421446
4.15 -1.01653 0.421526
4.16 -1.01661 0.421607
4.17 -1.01669 0.421688
4.18 -1.01677 0.421769
4.19 -1.01685 0.42185
4.2 -1.01693 0.421931
4.21 -1.01701 0.422013
4.22 -1.01709 0.422094
4.23 -1.01718 0.422176
4.24 -1.01726 0.422258
4.25 -1.01734 0.422341
4.26 -1.01742 0.422423
4.27 -1.01751 0.422506
4.28 -1.01759 0.422589
4.29 -1.01767 0.422672
4.3 -1.01776 0.422756
4.31 -1.01784 0.422839
4.32 -1.01792 0.422923
4.33 -1.01801 0.423007
4.34 -1.01809 0.423091
4.35 -1.01818 0.423175
4.36 -1.01826 0.42326
4.37 -1.01834 0.423345
4.38 -1.01843 0.42343
4.39 -1.01851 0.423515
4.4 -1.0186 0.4236
4.41 -1.01869 0.423686
4.42 -1.01877 0.423772
4.43 -1.01886 0.423858
4.44 -1.01894 0.423944
4.45 -1.01903 0.42403
4.46 -1.01912 0.424117
4.47 -1.0192 0.424204
4.48 -1.01929 0.424291
4.49 -1.01938 0.424378
4.5 -1.01947 0.424465
4.51 -1.01955 0.424553
4.52 -1.01964 0.424641
4.53 -1.01973 0.424729
4.54 -1.01982 0.424817
4.55 -1.01991 0.424905
4.56 -1.01999 0.424994
4.57 -1.02008 0.425083
4.58 -1.02017 0.425172
4.59 -1.02026 0.425261
4.6 -1.02035 0.425351
4.61 -1.02044 0.42544
4.62 -1.02053 0.42553
4.63 -1.02062 0.42562
4.64 -1.02071 0.42571
4.65 -1.0208 0.425801
4.66 -1.02089 0.425891
4.67 -1.02098 0.425982
4.68 -1.02107 0.426073
4.69 -1.02116 0.426165
4.7 -1.02126 0.426256
4.71 -1.02135 0.426348
4.72 -1.02144 0.42644
4.73 -1.02153 0.426532
4.74 -1.02162 0.426624
4.75 -1.02172 0.426717
4.76 -1.02181 0.426809
4.77 -1.0219 0.426902
4.78 -1.022 0.426995
4.79 -1.02209 0.427089
4.8 -1.02218 0.427182
4.81 -1.02228 0.427276
4.82 -1.02237 0.42737
4.83 -1.02246 0.427464
4.84 -1.02256 0.427558
4.85 -1.02265 0.427653
4.86 -1.02275 0.427748
4.87 -1.02284 0.427843
4.88 -1.02294 0.427938
4.89 -1.02303 0.428033
4.9 -1.02313 0.428129
4.91 -1.02322 0.428225
4.92 -1.02332 0.428321
4.93 -1.02342 0.428417
4.94 -1.02351 0.428513
4.95 -1.02361 0.42861
4.96 -1.02371 0.428707
4.97 -1.0238 0.428804
4.98 -1.0239 0.428901
4.99 -1.024 0.428998
5 -1.0241 0.429096
5.01 -1.02419 0.429194
5.02 -1.02429 0.429292
5.03 -1.02439 0.42939
5.04 -1.02449 0.429489
5.05 -1.02459 0.429587
5.06 -1.02469 0.429686
5.07 -1.02479 0.429785
5.08 -1.02488 0.429885
5.09 -1.02498 0.429984
5.1 -1.02508 0.430084
5.11 -1.02518 0.430184
5.12 -1.02528 0.430284
5.13 -1.02538 0.430384
5.14 -1.02548 0.430485
5.15 -1.02559 0.430585
5.16 -1.02569 0.430686
5.17 -1.02579 0.430788
5.18 -1.02589 0.430889
5.19 -1.02599 0.43099
5.2 -1.02609 0.431092
5.21 -1.02619 0.431194
5.22 -1.0263 0.431296
5.23 -1.0264 0.431399
5.24 -1.0265 0.431501
5.25 -1.0266 0.431604
5.26 -1.02671 0.431707
5.27 -1.02681 0.431811
5.28 -1.02691 0.431914
5.29 -1.02702 0.432018
5.3 -1.02712 0.432121
5.31 -1.02723 0.432226
5.32 -1.02733 0.43233
5.33 -1.02743 0.432434
5.34 -1.02754 0.432539
5.35 -1.02764 0.432644
5.36 -1.02775 0.432749
5.37 -1.02785 0.432854
