t x y
0 10 0
0.01 10 0.009
0.02 9.99998 0.018
0.03 9.99996 0.027
0.04 9.99992 0.0359999
0.05 9.99988 0.0449998
0.06 9.99982 0.0539997
0.07 9.99976 0.0629995
0.08 9.99968 0.0719992
0.09 9.9996 0.0809989
0.1 9.9995 0.0899985
0.11 9.9994 0.098998
0.12 9.99928 0.107997
0.13 9.99916 0.116997
0.14 9.99902 0.125996
0.15 9.99888 0.134995
0.16 9.99872 0.143994
0.17 9.99856 0.152993
0.18 9.99838 0.161991
0.19 9.9982 0.17099
0.2 9.998 0.179988
0.21 9.9978 0.188986
0.22 9.99758 0.197984
0.23 9.99736 0.206982
0.24 9.99712 0.215979
0.25 9.99688 0.224977
0.26 9.99662 0.233974
0.27 9.99636 0.24297
0.28 9.99608 0.251967
0.29 9.9958 0.260963
0.3 9.9955 0.269959
0.31 9.9952 0.278955
0.32 9.99488 0.287951
0.33 9.99456 0.296946
0.34 9.99422 0.305941
0.35 9.99388 0.314936
0.36 9.99352 0.32393
0.37 9.99316 0.332924
0.38 9.99278 0.341918
0.39 9.9924 0.350911
0.4 9.992 0.359904
0.41 9.9916 0.368897
0.42 9.99118 0.377889
0.43 9.99076 0.386881
0.44 9.99032 0.395872
0.45 9.98988 0.404863
0.46 9.98942 0.413854
0.47 9.98896 0.422844
0.48 9.98848 0.431834
0.49 9.988 0.440823
0.5 9.9875 0.449812
0.51 9.987 0.458801
0.52 9.98648 0.467789
0.53 9.98596 0.476777
0.54 9.98542 0.485764
0.55 9.98488 0.49475
0.56 9.98432 0.503737
0.57 9.98376 0.512722
0.58 9.98318 0.521707
0.59 9.9826 0.530692
0.6 9.982 0.539676
0.61 9.9814 0.548659
0.62 9.98078 0.557642
0.63 9.98016 0.566625
0.64 9.97952 0.575607
0.65 9.97888 0.584588
0.66 9.97822 0.593569
0.67 9.97756 0.602549
0.68 9.97688 0.611528
0.69 9.9762 0.620507
0.7 9.9755 0.629485
0.71 9.9748 0.638463
0.72 9.97408 0.64744
0.73 9.97336 0.656416
0.74 9.97263 0.665392
0.75 9.97188 0.674367
0.76 9.97113 0.683341
0.77 9.97036 0.692315
0.78 9.96959 0.701288
0.79 9.9688 0.71026
0.8 9.96801 0.719232
0.81 9.9672 0.728203
0.82 9.96639 0.737173
0.83 9.96556 0.746142
0.84 9.96473 0.755111
0.85 9.96388 0.764079
0.86 9.96303 0.773046
0.87 9.96217 0.782012
0.88 9.96129 0.790977
0.89 9.96041 0.799942
0.9 9.95951 0.808906
0.91 9.95861 0.817869
0.92 9.95769 0.826832
0.93 9.95677 0.835793
0.94 9.95583 0.844754
0.95 9.95489 0.853713
0.96 9.95394 0.862672
0.97 9.95297 0.87163
0.98 9.952 0.880588
0.99 9.95101 0.889544
1 9.95002 0.898499
1.01 9.94901 0.907454
1.02 9.948 0.916408
1.03 9.94698 0.92536
1.04 9.94594 0.934312
1.05 9.9449 0.943263
1.06 9.94384 0.952213
1.07 9.94278 0.961162
1.08 9.9417 0.97011
1.09 9.94062 0.979057
1.1 9.93953 0.988003
1.11 9.93842 0.996948
1.12 9.93731 1.00589
1.13 9.93618 1.01483
1.14 9.93505 1.02378
1.15 9.93391 1.03272
